COUNTRY,Number of exiled media,Press Freedom Ranking (2023)
Malaysia,1,73
Qatar,1,105
Thailand,1,106
Indonesia,1,108
Burundi,3,114
El Salvador,1,115
South Sudan,5,118
Philippines,1,132
Somalia,1,141
United Arab Emirates,1,145
Cambodia,1,147
Sudan,5,148
Pakistan,1,150
Azerbaijan,1,151
Afghanistan,6,152
Tajikistan,4,153
Kuwait,1,154
Oman,1,155
Belarus,5,157
Nicaragua,10,158
Venezuela,2,159
Laos,1,160
Djibouti,1,162
Bangladesh,1,163
Russia,16,164
Türkiye,7,165
Egypt,1,166
Saudi Arabia,1,170
Bahrain,1,171
Cuba,2,172
Myanmar,8,173
Eritrea,3,174
Syria,4,175
Turkmenistan,1,176
Iran,8,177
Vietnam,4,178
China,4,179
North Korea,5,180
